max_spout,spliters,counters,$<latency
1.0,1,1,2.25
1.0,1,3,2.2534
1.0,1,6,2.2747
1.0,1,9,2.3335
1.0,1,12,2.3254
1.0,1,15,2.3844
1.0,1,18,2.3919
1.0,2,1,2.4379
1.0,2,3,2.1477
1.0,2,6,2.289
1.0,2,9,2.2133
1.0,2,12,2.2306
1.0,2,15,2.2503
1.0,2,18,2.2191
1.0,3,1,1.9707
1.0,3,3,1.9243
1.0,3,6,1.9353
1.0,3,9,2.0457
1.0,3,12,2.0329
1.0,3,15,2.0329
1.0,3,18,2.0543
1.0,6,1,1.9595
1.0,6,3,1.9647
1.0,6,6,1.9409999999999998
1.0,6,9,2.0405
1.0,6,12,1.9902
1.0,6,15,2.0329
1.0,6,18,2.043
10.0,1,1,12.039000000000001
10.0,1,3,7.5798
10.0,1,6,7.4457
10.0,1,9,7.2769
10.0,1,12,6.9301
10.0,1,15,7.2642
10.0,1,18,7.1578
10.0,2,1,12.960999999999999
10.0,2,3,5.7214
10.0,2,6,4.8312
10.0,2,9,4.774
10.0,2,12,4.8266
10.0,2,15,4.7671
10.0,2,18,4.9532
10.0,3,1,12.509
10.0,3,3,6.415
10.0,3,6,6.2092
10.0,3,9,5.9988
10.0,3,12,6.1786
10.0,3,15,6.2653
10.0,3,18,6.7601
10.0,6,1,12.546
10.0,6,3,5.4526
10.0,6,6,4.711
10.0,6,9,5.2046
10.0,6,12,4.3988
10.0,6,15,4.6353
10.0,6,18,4.6347
100.0,1,1,111.5
100.0,1,3,53.857
100.0,1,6,50.778999999999996
100.0,1,9,48.175
100.0,1,12,48.032
100.0,1,15,49.335
100.0,1,18,47.306000000000004
100.0,2,1,109.87
100.0,2,3,49.583999999999996
100.0,2,6,44.161
100.0,2,9,36.679
100.0,2,12,34.184
100.0,2,15,33.133
100.0,2,18,32.883
100.0,3,1,117.19
100.0,3,3,58.44
100.0,3,6,52.732
100.0,3,9,45.54600000000001
100.0,3,12,50.043
100.0,3,15,47.847
100.0,3,18,49.925
100.0,6,1,102.54
100.0,6,3,47.047
100.0,6,6,38.387
100.0,6,9,37.855
100.0,6,12,33.369
100.0,6,15,30.51
100.0,6,18,29.726999999999997
1000.0,1,1,1132.4
1000.0,1,3,495.85
1000.0,1,6,478.53
1000.0,1,9,475.26
1000.0,1,12,446.51
1000.0,1,15,412.5
1000.0,1,18,446.03
1000.0,2,1,1217.3
1000.0,2,3,440.59
1000.0,2,6,342.65
1000.0,2,9,314.87
1000.0,2,12,299.2
1000.0,2,15,294.81
1000.0,2,18,312.07
1000.0,3,1,1100.4
1000.0,3,3,505.4
1000.0,3,6,471.82
1000.0,3,9,480.99
1000.0,3,12,435.89
1000.0,3,15,447.55
1000.0,3,18,433.98
1000.0,6,1,1175.0
1000.0,6,3,424.46
1000.0,6,6,277.18
1000.0,6,9,307.33
1000.0,6,12,254.64
1000.0,6,15,277.65
1000.0,6,18,300.68
10000.0,1,1,10420.0
10000.0,1,3,5687.4
10000.0,1,6,5414.6
10000.0,1,9,5170.7
10000.0,1,12,4985.3
10000.0,1,15,5536.3
10000.0,1,18,5250.0
10000.0,2,1,11828.0
10000.0,2,3,4190.6
10000.0,2,6,3441.6
10000.0,2,9,3308.0
10000.0,2,12,3375.2
10000.0,2,15,3154.6
10000.0,2,18,3259.4
10000.0,3,1,11114.0
10000.0,3,3,1658.2
10000.0,3,6,1751.1
10000.0,3,9,1437.6
10000.0,3,12,1526.2
10000.0,3,15,1447.1
10000.0,3,18,1573.4
10000.0,6,1,8104.6
10000.0,6,3,1871.2
10000.0,6,6,1057.2
10000.0,6,9,655.03
10000.0,6,12,832.75
10000.0,6,15,745.04
10000.0,6,18,898.52
100000.0,1,1,82037.0
100000.0,1,3,48084.0
100000.0,1,6,46923.0
100000.0,1,9,48535.0
100000.0,1,12,43826.0
100000.0,1,15,46172.0
100000.0,1,18,45261.0
100000.0,2,1,78965.0
100000.0,2,3,35250.0
100000.0,2,6,30120.0
100000.0,2,9,31515.0
100000.0,2,12,28760.0
100000.0,2,15,27668.0
100000.0,2,18,28743.0
100000.0,3,1,70985.0
100000.0,3,3,1733.9
100000.0,3,6,1548.2
100000.0,3,9,1589.0
100000.0,3,12,1540.1
100000.0,3,15,1473.6
100000.0,3,18,1826.1
100000.0,6,1,64210.0
100000.0,6,3,1960.1
100000.0,6,6,1066.2
100000.0,6,9,843.62
100000.0,6,12,697.91
100000.0,6,15,931.89
100000.0,6,18,874.78
1000000.0,1,1,99722.0
1000000.0,1,3,88542.0
1000000.0,1,6,89234.0
1000000.0,1,9,82624.0
1000000.0,1,12,91290.0
1000000.0,1,15,84497.0
1000000.0,1,18,86354.0
1000000.0,2,1,72876.0
1000000.0,2,3,85607.0
1000000.0,2,6,72319.0
1000000.0,2,9,58477.0
1000000.0,2,12,65922.0
1000000.0,2,15,59230.0
1000000.0,2,18,69276.0
1000000.0,3,1,80453.0
1000000.0,3,3,1785.0
1000000.0,3,6,1623.2
1000000.0,3,9,1713.5
1000000.0,3,12,1464.6
1000000.0,3,15,1450.2
1000000.0,3,18,1516.5
1000000.0,6,1,73243.0
1000000.0,6,3,1764.9
1000000.0,6,6,890.11
1000000.0,6,9,638.08
1000000.0,6,12,741.02
1000000.0,6,15,824.51
1000000.0,6,18,887.67
