max_spout,spliters,counters,$<throughput
1.0,1,1,23.500105750475875
1.0,1,3,24.037883704718634
1.0,1,6,24.45286709866732
1.0,1,9,24.056388173879576
1.0,1,12,24.914046539438935
1.0,1,15,23.84301757230395
1.0,1,18,25.225770647293277
1.0,2,1,23.284513470091042
1.0,2,3,23.02237775117414
1.0,2,6,22.606022244325885
1.0,2,9,22.885389967045036
1.0,2,12,23.320351670903197
1.0,2,15,23.30350484712901
1.0,2,18,23.606062036731032
1.0,3,1,20.079111700098387
1.0,3,3,19.768315344166368
1.0,3,6,20.675253788740257
1.0,3,9,20.890346570849612
1.0,3,12,22.08090443384561
1.0,3,15,20.974914002852586
1.0,3,18,20.205693964559213
1.0,6,1,20.390685534847684
1.0,6,3,19.41370607649
1.0,6,6,20.630892698727074
1.0,6,9,20.44195506858276
1.0,6,12,20.529665366454527
1.0,6,15,21.524818115286926
1.0,6,18,21.330603016147265
10.0,1,1,12.156428927438276
10.0,1,3,7.875876191226274
10.0,1,6,6.724949562878279
10.0,1,9,6.753562504220977
10.0,1,12,6.504488096786783
10.0,1,15,6.242586928022972
10.0,1,18,6.621201085876978
10.0,2,1,14.273072421569468
10.0,2,3,7.057661091114404
10.0,2,6,5.416531253385332
10.0,2,9,5.36135535063264
10.0,2,12,4.942420797706717
10.0,2,15,5.1268905408869525
10.0,2,18,5.17196793379881
10.0,3,1,12.166338175535929
10.0,3,3,6.853539853334247
10.0,3,6,6.354855109303508
10.0,3,9,5.827166249053086
10.0,3,12,5.837711617046118
10.0,3,15,5.810912894415713
10.0,3,18,6.195786864931846
10.0,6,1,13.290449483001515
10.0,6,3,6.15839389087326
10.0,6,6,4.977848573846384
10.0,6,9,4.98355427090601
10.0,6,12,5.120852109791069
10.0,6,15,5.220024012110455
10.0,6,18,5.44069640914037
100.0,1,1,11.749224551179621
100.0,1,3,6.445375443119562
100.0,1,6,5.475251861585633
100.0,1,9,5.36135535063264
100.0,1,12,4.791107704101188
100.0,1,15,5.031446540880503
100.0,1,18,4.9699319119328065
100.0,2,1,11.43379830779785
100.0,2,3,5.385609651012494
100.0,2,6,4.804458537522821
100.0,2,9,4.006089255668616
100.0,2,12,3.7917567208887877
100.0,2,15,3.853861569292431
100.0,2,18,3.9115978877371407
100.0,3,1,11.81320953089745
100.0,3,3,5.902839265686795
100.0,3,6,4.988775255674732
100.0,3,9,4.662439388287952
