max_spout,spliters,counters,$<latency
1.0,1,1,2.5621
1.0,1,3,2.6057
1.0,1,6,2.55
1.0,1,9,2.5688
1.0,1,12,2.5474
1.0,1,15,2.5676
1.0,1,18,2.5503
1.0,2,1,4.7793
1.0,2,3,2.381
1.0,2,6,2.3538
1.0,2,9,2.4306
1.0,2,12,2.3965
1.0,2,15,2.4462
1.0,2,18,2.4647
1.0,3,1,2.1598
1.0,3,3,3.5506
1.0,3,6,2.1283
1.0,3,9,2.1468
1.0,3,12,3.0358
1.0,3,15,2.2173
1.0,3,18,2.1277
1.0,6,1,2.1626
1.0,6,3,2.0815
1.0,6,6,2.1376
1.0,6,9,2.1503
1.0,6,12,2.2277
1.0,6,15,2.1468
1.0,6,18,2.2277
10.0,1,1,13.732999999999999
10.0,1,3,9.2121
10.0,1,6,8.1247
10.0,1,9,7.5491
10.0,1,12,7.1335
10.0,1,15,7.3717
10.0,1,18,7.3965
10.0,2,1,15.859000000000002
10.0,2,3,8.1471
10.0,2,6,6.481
10.0,2,9,6.2867
10.0,2,12,5.7734
10.0,2,15,5.6023
10.0,2,18,5.641
10.0,3,1,13.865
10.0,3,3,7.6695
10.0,3,6,7.2908
10.0,3,9,6.5827
10.0,3,12,6.2694
10.0,3,15,6.2798
10.0,3,18,7.2948
10.0,6,1,13.959000000000001
10.0,6,3,7.0838
10.0,6,6,5.2988
10.0,6,9,5.0202
10.0,6,12,4.9185
10.0,6,15,5.0006
10.0,6,18,5.0711
100.0,1,1,135.2
100.0,1,3,75.825
100.0,1,6,61.409
100.0,1,9,62.08
100.0,1,12,55.886
100.0,1,15,53.538999999999994
100.0,1,18,56.687
100.0,2,1,117.57
100.0,2,3,65.437
100.0,2,6,53.103
100.0,2,9,43.247
100.0,2,12,40.169000000000004
100.0,2,15,46.001000000000005
100.0,2,18,39.446999999999996
100.0,3,1,132.78
100.0,3,3,65.185
100.0,3,6,58.0
100.0,3,9,54.396
100.0,3,12,56.731
100.0,3,15,51.463
100.0,3,18,53.927
100.0,6,1,116.13
100.0,6,3,55.501000000000005
100.0,6,6,48.702
100.0,6,9,37.915
100.0,6,12,41.478
100.0,6,15,32.286
100.0,6,18,33.092
1000.0,1,1,1063.6
1000.0,1,3,553.74
1000.0,1,6,511.62
1000.0,1,9,467.36
1000.0,1,12,470.82
1000.0,1,15,439.35
1000.0,1,18,419.91
1000.0,2,1,1239.5
1000.0,2,3,518.71
1000.0,2,6,463.33
1000.0,2,9,398.1
1000.0,2,12,332.68
1000.0,2,15,321.53
1000.0,2,18,341.28
1000.0,3,1,1105.8
1000.0,3,3,595.91
1000.0,3,6,549.73
1000.0,3,9,521.23
1000.0,3,12,501.11
1000.0,3,15,468.71
1000.0,3,18,482.7
1000.0,6,1,1038.1
1000.0,6,3,465.98
1000.0,6,6,310.14
1000.0,6,9,330.79
1000.0,6,12,273.88
1000.0,6,15,251.19
1000.0,6,18,336.78
10000.0,1,1,11175.0
10000.0,1,3,4961.1
10000.0,1,6,4304.9
10000.0,1,9,3340.5
10000.0,1,12,5131.3
10000.0,1,15,4748.4
10000.0,1,18,4563.6
10000.0,2,1,13541.0
10000.0,2,3,5447.8
10000.0,2,6,3740.0
10000.0,2,9,3483.2
10000.0,2,12,3138.8
10000.0,2,15,2972.0
10000.0,2,18,3296.5
10000.0,3,1,8988.0
10000.0,3,3,1981.7
10000.0,3,6,1658.8
10000.0,3,9,1802.8
10000.0,3,12,1691.8
10000.0,3,15,1524.7
10000.0,3,18,1384.5
10000.0,6,1,1439.6
10000.0,6,3,1956.1
10000.0,6,6,815.83
10000.0,6,9,1145.3
10000.0,6,12,1047.6
10000.0,6,15,1007.9
10000.0,6,18,1099.8
100000.0,1,1,53025.0
100000.0,1,3,51009.0
100000.0,1,6,25993.0
100000.0,1,9,17797.0
100000.0,1,12,41428.0
100000.0,1,15,41317.0
100000.0,1,18,41498.0
100000.0,2,1,79248.0
100000.0,2,3,38738.0
100000.0,2,6,35249.0
100000.0,2,9,27780.0
100000.0,2,12,29871.0
100000.0,2,15,27907.0
100000.0,2,18,28692.0
100000.0,3,1,24535.0
100000.0,3,3,1806.9
100000.0,3,6,1821.7
100000.0,3,9,2033.3
100000.0,3,12,1535.9
100000.0,3,15,1579.7
100000.0,3,18,1635.1
100000.0,6,1,6540.8
100000.0,6,3,1891.2
100000.0,6,6,1151.3
100000.0,6,9,1024.0
100000.0,6,12,928.18
100000.0,6,15,834.61
100000.0,6,18,776.38
1000000.0,1,1,83233.0
1000000.0,1,3,53632.0
1000000.0,1,6,36772.0
1000000.0,1,9,24516.0
1000000.0,1,12,73740.0
1000000.0,1,15,74403.0
1000000.0,1,18,65193.0
1000000.0,2,1,72496.0
1000000.0,2,3,94541.0
1000000.0,2,6,105000.0
1000000.0,2,9,70551.0
1000000.0,2,12,77350.0
1000000.0,2,15,87048.0
1000000.0,2,18,46988.0
1000000.0,3,1,32624.0
1000000.0,3,3,1814.2
1000000.0,3,6,1592.6
1000000.0,3,9,1713.3
1000000.0,3,12,1764.9
1000000.0,3,15,1711.5
1000000.0,3,18,1817.5
1000000.0,6,1,961.88
1000000.0,6,3,2143.0
1000000.0,6,6,856.82
1000000.0,6,9,1218.0
1000000.0,6,12,976.39
1000000.0,6,15,974.89
1000000.0,6,18,979.55
