max_spout,spliters,counters,$<throughput
1.0,1,1,18.400279684251203
1.0,1,2,18.008608114678818
1.0,1,3,18.083509647552397
1.0,1,4,17.70914500247928
1.0,1,5,18.068479537446922
1.0,1,6,18.449503708350246
1.0,1,7,18.59565605474561
1.0,1,8,18.596347677316178
1.0,1,9,19.15378574575265
1.0,1,10,18.24484583105273
1.0,1,11,18.866500641461023
1.0,1,12,19.015745036890543
1.0,1,13,19.22633238483427
1.0,1,14,19.831039543092846
1.0,1,15,19.02044698050404
1.0,1,16,18.927922471229557
1.0,1,17,19.26448207439943
1.0,1,18,19.46358363501888
1.0,2,1,17.548785624034817
1.0,2,2,17.236624379481523
1.0,2,3,17.265491462214474
1.0,2,4,17.31421843617979
1.0,2,5,17.103957855847842
1.0,2,6,18.03003804338027
1.0,2,7,17.874059377625255
1.0,2,8,18.06880601329864
1.0,2,9,18.49796522382538
1.0,2,10,18.61920011916288
1.0,2,11,18.593927223368848
1.0,2,12,17.929179740026893
1.0,2,13,17.848855888337557
1.0,2,14,18.298931342409603
1.0,2,15,18.5821796896776
1.0,2,16,18.436578171091444
1.0,2,17,18.58390633711206
1.0,2,18,18.687397219315294
1.0,3,1,14.435638704834496
1.0,3,2,13.389928096086123
1.0,3,3,14.095426034251885
1.0,3,4,13.398539559188048
1.0,3,5,14.023475297648265
1.0,3,6,14.012471099278358
1.0,3,7,13.762162310942294
1.0,3,8,14.492123530860976
1.0,3,9,14.807137040053306
1.0,3,10,14.620310535395772
1.0,3,11,14.974094815968375
1.0,3,12,15.175658244176342
1.0,3,13,14.249682944554484
1.0,3,14,15.24320534121915
1.0,3,15,15.35202186127913
1.0,3,16,15.073861923424781
1.0,3,17,15.961182404392519
1.0,3,18,15.881839116969745
1.0,4,1,14.782621550105697
1.0,4,2,12.612567161920136
1.0,4,3,13.640331732867743
1.0,4,4,14.459015919376526
1.0,4,5,14.557947911662371
1.0,4,6,13.875398917718885
1.0,4,7,14.786118791678371
1.0,4,8,15.657293167157261
1.0,4,9,15.982610919319779
1.0,4,10,15.80128306418481
1.0,4,11,15.363343063450607
1.0,4,12,14.95528370173182
1.0,4,13,15.698094251357885
1.0,4,14,16.469309441855103
1.0,4,15,15.93320799209713
1.0,4,16,15.996672692080047
1.0,4,17,16.25566916462116
1.0,4,18,16.022816490682732
1.0,5,1,12.514704778114284
1.0,5,2,13.391183244951524
1.0,5,3,14.202931485058516
1.0,5,4,15.30245298321321
1.0,5,5,14.05560396930256
1.0,5,6,14.284489900865639
1.0,5,7,14.587040872888526
