max_spout,spliters,counters,$<latency
1.0,1,1,1.8632
1.0,1,2,1.8259
1.0,1,3,1.8618
1.0,1,4,1.8299
1.0,1,5,1.8374
1.0,1,6,1.8391
1.0,1,7,1.8759
1.0,1,8,1.8902
1.0,1,9,1.8724
1.0,1,10,1.9006
1.0,1,11,1.9305
1.0,1,12,1.9272
1.0,1,13,1.9178
1.0,1,14,1.9422
1.0,1,15,1.9272
1.0,1,16,1.9688
1.0,1,17,1.9543
1.0,1,18,1.9503
1.0,2,1,1.8184
1.0,2,2,1.7259
1.0,2,3,1.7557
1.0,2,4,1.7408
1.0,2,5,1.8195
1.0,2,6,1.8161
1.0,2,7,1.8287
1.0,2,8,1.8247
1.0,2,9,1.8264
1.0,2,10,1.8457
1.0,2,11,1.8613
1.0,2,12,1.8543
1.0,2,13,1.8519999999999999
1.0,2,14,1.9197
1.0,2,15,1.8954
1.0,2,16,1.8711
1.0,2,17,1.9208
1.0,2,18,1.8451
1.0,3,1,1.4724
1.0,3,2,1.3264
1.0,3,3,1.4339
1.0,3,4,1.3638
1.0,3,5,1.4207
1.0,3,6,1.4391
1.0,3,7,1.4241
1.0,3,8,1.4368
1.0,3,9,1.5161
1.0,3,10,1.5172
1.0,3,11,1.5247
1.0,3,12,1.5266
1.0,3,13,1.5023
1.0,3,14,1.5364
1.0,3,15,1.5659
1.0,3,16,1.5347
1.0,3,17,1.6202
1.0,3,18,1.6335
1.0,4,1,1.4769999999999999
1.0,4,2,1.3264
1.0,4,3,1.3902
1.0,4,4,1.4471
1.0,4,5,1.4805
1.0,4,6,1.4109
1.0,4,7,1.5126
1.0,4,8,1.531
1.0,4,9,1.6328
1.0,4,10,1.6178
1.0,4,11,1.6195
1.0,4,12,1.5439
1.0,4,13,1.5630000000000002
1.0,4,14,1.6306
1.0,4,15,1.6329
1.0,4,16,1.6295
1.0,4,17,1.6312
1.0,4,18,1.6
1.0,5,1,1.2994
1.0,5,2,1.4
1.0,5,3,1.446
1.0,5,4,1.5195
1.0,5,5,1.4161
1.0,5,6,1.446
1.0,5,7,1.4534
1.0,5,8,1.4586
1.0,5,9,1.5397
1.0,5,10,1.5584
1.0,5,11,1.5382
1.0,5,12,1.5572
1.0,5,13,1.5647
1.0,5,14,1.5555
1.0,5,15,1.5636
1.0,5,16,1.5942
1.0,5,17,1.6168
1.0,5,18,1.6017
1.0,6,1,1.4040000000000001
1.0,6,2,1.3678
1.0,6,3,1.3299
1.0,6,4,1.3
1.0,6,5,1.3448
1.0,6,6,1.3184
1.0,6,7,1.331
1.0,6,8,1.3724
1.0,6,9,1.3855
1.0,6,10,1.3139
1.0,6,11,1.4329
1.0,6,12,1.4295
1.0,6,13,1.415
1.0,6,14,1.4566
1.0,6,15,1.4358
1.0,6,16,1.4092
1.0,6,17,1.4572
1.0,6,18,1.4954
10.0,1,1,3.4546
10.0,1,2,3.2351
10.0,1,3,3.4678
10.0,1,4,3.4218
10.0,1,5,3.5178
10.0,1,6,3.5443
10.0,1,7,3.4534
10.0,1,8,3.5172
10.0,1,9,3.4184
10.0,1,10,3.4636
10.0,1,11,3.5566
10.0,1,12,3.5948
10.0,1,13,3.5988
10.0,1,14,3.6289
10.0,1,15,3.6191
10.0,1,16,3.6382
10.0,1,17,3.6694
10.0,1,18,3.6682
10.0,2,1,3.5385
10.0,2,2,3.0305
10.0,2,3,2.9425
10.0,2,4,3.1552
10.0,2,5,3.0701
10.0,2,6,3.0902
10.0,2,7,3.2213
10.0,2,8,3.2466
10.0,2,9,3.2195
10.0,2,10,3.1989
10.0,2,11,3.2506
10.0,2,12,3.2659
10.0,2,13,3.2491
10.0,2,14,3.3283
10.0,2,15,3.2191
10.0,2,16,3.2671
10.0,2,17,3.3809
10.0,2,18,3.3197
10.0,3,1,3.3776
10.0,3,2,3.0580000000000003
10.0,3,3,3.173
10.0,3,4,3.1989
10.0,3,5,3.2454
10.0,3,6,3.3052
10.0,3,7,3.3138
10.0,3,8,3.3333
10.0,3,9,3.358
10.0,3,10,3.2954
10.0,3,11,3.3538
10.0,3,12,3.326
10.0,3,13,3.3254
10.0,3,14,3.3561
10.0,3,15,3.3306
10.0,3,16,3.4624
10.0,3,17,3.4393
10.0,3,18,3.4422
10.0,4,1,3.4374
10.0,4,2,3.5282
10.0,4,3,3.258
10.0,4,4,3.2615
10.0,4,5,3.3592
10.0,4,6,3.2739999999999996
10.0,4,7,3.3191
10.0,4,8,3.4324
10.0,4,9,3.3636
10.0,4,10,3.4023
10.0,4,11,3.3491
10.0,4,12,3.3699
10.0,4,13,3.3572
10.0,4,14,3.389
10.0,4,15,3.4936
10.0,4,16,3.4746
10.0,4,17,3.5179
10.0,4,18,3.4593
10.0,5,1,3.3747
10.0,5,2,3.1333
10.0,5,3,3.4356
10.0,5,4,3.3734
10.0,5,5,3.2717
10.0,5,6,3.341
10.0,5,7,3.3739999999999997
10.0,5,8,3.3064
10.0,5,9,3.4058
10.0,5,10,3.3514
10.0,5,11,3.4786
10.0,5,12,3.5364
10.0,5,13,3.5410000000000004
10.0,5,14,3.4509
10.0,5,15,3.5358
10.0,5,16,3.4202
10.0,5,17,3.4509
10.0,5,18,3.511
10.0,6,1,3.3034
10.0,6,2,2.9167
10.0,6,3,2.9644
10.0,6,4,3.1626
10.0,6,5,3.1328
10.0,6,6,3.2462
10.0,6,7,3.1728
10.0,6,8,3.2039999999999997
10.0,6,9,3.1751
10.0,6,10,3.1312
10.0,6,11,3.222
10.0,6,12,3.1931
10.0,6,13,3.2260000000000004
10.0,6,14,3.2613
10.0,6,15,3.2422
10.0,6,16,3.2578
10.0,6,17,3.3335
10.0,6,18,3.2763
100.0,1,1,22.179000000000002
100.0,1,2,22.103
100.0,1,3,20.811999999999998
100.0,1,4,22.151
100.0,1,5,21.389
100.0,1,6,20.06
100.0,1,7,19.205
100.0,1,8,20.136
100.0,1,9,18.567
100.0,1,10,18.9
100.0,1,11,17.024
100.0,1,12,17.537
100.0,1,13,17.328
100.0,1,14,17.361
100.0,1,15,16.838
100.0,1,16,17.56
100.0,1,17,17.798
100.0,1,18,17.415
100.0,2,1,25.031999999999996
100.0,2,2,21.854
100.0,2,3,21.603
100.0,2,4,21.875
100.0,2,5,22.11
100.0,2,6,21.37
100.0,2,7,19.832
100.0,2,8,21.423000000000002
100.0,2,9,19.265
100.0,2,10,18.162
100.0,2,11,16.393
100.0,2,12,17.333
100.0,2,13,15.94
100.0,2,14,18.090999999999998
100.0,2,15,16.808
100.0,2,16,16.279
100.0,2,17,17.035999999999998
100.0,2,18,16.927
100.0,3,1,22.011999999999997
100.0,3,2,19.574
100.0,3,3,21.69
100.0,3,4,23.217
100.0,3,5,20.875
100.0,3,6,19.297
100.0,3,7,20.323
100.0,3,8,18.819000000000003
100.0,3,9,18.500999999999998
100.0,3,10,18.575
100.0,3,11,18.192999999999998
100.0,3,12,18.84
100.0,3,13,18.374000000000002
100.0,3,14,18.287
100.0,3,15,18.623
100.0,3,16,18.29
100.0,3,17,18.863
100.0,3,18,18.323
100.0,4,1,22.206
100.0,4,2,30.38
100.0,4,3,26.5
100.0,4,4,24.039
100.0,4,5,21.811
100.0,4,6,20.616
100.0,4,7,18.332
100.0,4,8,20.154
100.0,4,9,19.719
100.0,4,10,20.16
100.0,4,11,20.194000000000003
100.0,4,12,19.686
100.0,4,13,19.134
100.0,4,14,19.887999999999998
100.0,4,15,19.139
100.0,4,16,18.764
100.0,4,17,19.881
100.0,4,18,19.912
100.0,5,1,32.695
100.0,5,2,27.570999999999998
100.0,5,3,25.346999999999998
100.0,5,4,26.083000000000002
100.0,5,5,22.136
100.0,5,6,22.500999999999998
100.0,5,7,20.129
100.0,5,8,18.834
100.0,5,9,19.392
100.0,5,10,19.357
100.0,5,11,18.737000000000002
100.0,5,12,18.754
100.0,5,13,19.829
100.0,5,14,19.589000000000002
100.0,5,15,19.199
100.0,5,16,20.192
100.0,5,17,18.921
100.0,5,18,19.344
100.0,6,1,21.241
100.0,6,2,19.351
100.0,6,3,22.409000000000002
100.0,6,4,22.236
100.0,6,5,21.096999999999998
100.0,6,6,21.147
100.0,6,7,24.383000000000003
100.0,6,8,19.547
100.0,6,9,20.214000000000002
100.0,6,10,21.197
100.0,6,11,19.079
100.0,6,12,20.042
100.0,6,13,18.653
100.0,6,14,19.031
100.0,6,15,19.476
100.0,6,16,19.903
100.0,6,17,21.375
100.0,6,18,19.374000000000002
1000.0,1,1,197.06
1000.0,1,2,191.22
1000.0,1,3,197.34
1000.0,1,4,194.73
1000.0,1,5,184.6
1000.0,1,6,176.69
1000.0,1,7,173.93
1000.0,1,8,174.83
1000.0,1,9,143.47
1000.0,1,10,157.47
1000.0,1,11,143.66
1000.0,1,12,140.29
