spout,split,count,buffer-size,heap,$<throughput
1,1,1,262000.0,512,10.799136069114471
1,1,1,262000.0,1024,10.773191989054437
1,1,1,262000.0,2048,10.665870281685633
1,1,1,1050000.0,512,11.178430101276577
1,1,1,1050000.0,1024,10.853874290427969
1,1,1,1050000.0,2048,10.578092769873592
1,1,1,5240000.0,512,10.79062941741392
1,1,1,5240000.0,1024,10.713290908701333
1,1,1,5240000.0,2048,10.811512098082039
1,1,1,10500000.0,512,11.009335916857495
1,1,1,10500000.0,1024,10.643619682181518
1,1,1,10500000.0,2048,10.735603555631899
1,1,1,105000000.0,512,10.77156737076812
1,1,1,105000000.0,1024,10.713750026784377
1,1,1,105000000.0,2048,11.082051509375415
1,1,2,262000.0,512,9.198785760279643
1,1,2,262000.0,1024,9.394964299135664
1,1,2,262000.0,2048,9.34317481080071
1,1,2,1050000.0,512,9.30232558139535
1,1,2,1050000.0,1024,9.083477155054956
1,1,2,1050000.0,2048,9.242144177449168
1,1,2,5240000.0,512,9.098353198071148
1,1,2,5240000.0,1024,9.196247930844216
1,1,2,5240000.0,2048,9.160025648071814
1,1,2,10500000.0,512,9.256687957048968
1,1,2,10500000.0,1024,9.26526452330214
1,1,2,10500000.0,2048,9.225943352707814
1,1,2,105000000.0,512,9.108297659167501
1,1,2,105000000.0,1024,9.244707405010631
1,1,2,105000000.0,2048,9.416195856873824
1,1,3,262000.0,512,7.686985932815743
1,1,3,262000.0,1024,7.861017215627702
1,1,3,262000.0,2048,8.023750300890637
1,1,3,1050000.0,512,7.751337105650725
1,1,3,1050000.0,1024,47.120912260861374
1,1,3,1050000.0,2048,7.915776141850708
1,1,3,5240000.0,512,7.716644802839725
1,1,3,5240000.0,1024,7.9611495900007965
1,1,3,5240000.0,2048,8.216251745953496
1,1,3,10500000.0,512,7.938398031277289
1,1,3,10500000.0,1024,8.126777732629012
1,1,3,10500000.0,2048,8.345155637152633
1,1,3,105000000.0,512,7.998080460689435
1,1,3,105000000.0,1024,8.145975887911371
1,1,3,105000000.0,2048,8.182636445462729
1,1,6,262000.0,512,7.379529186037931
1,1,6,262000.0,1024,7.053180984624065
1,1,6,262000.0,2048,7.39863865048831
1,1,6,1050000.0,512,7.311544929443591
1,1,6,1050000.0,1024,7.030865499542994
1,1,6,1050000.0,2048,7.105300554213443
1,1,6,5240000.0,512,6.815703380588877
1,1,6,5240000.0,1024,7.346998751010212
1,1,6,5240000.0,2048,7.004272606289836
1,1,6,10500000.0,512,6.997900629811057
1,1,6,10500000.0,1024,7.186489399928135
1,1,6,10500000.0,2048,7.165890361877463
1,1,6,105000000.0,512,7.353481873667182
1,1,6,105000000.0,1024,7.038783698176955
1,1,6,105000000.0,2048,6.801795674057951
1,1,9,262000.0,512,6.67779632721202
1,1,9,262000.0,1024,6.793939805693322
1,1,9,262000.0,2048,6.863417982155113
1,1,9,1050000.0,512,6.53893938403191
1,1,9,1050000.0,1024,6.602839220864972
1,1,9,1050000.0,2048,6.984215672579969
1,1,9,5240000.0,512,6.780580417683754
1,1,9,5240000.0,1024,6.7874838797257855
1,1,9,5240000.0,2048,7.173601147776184
1,1,9,10500000.0,512,6.650262685376072
1,1,9,10500000.0,1024,7.1551230681167715
1,1,9,10500000.0,2048,6.869547296833138
1,1,9,105000000.0,512,7.083658000991712
1,1,9,105000000.0,1024,6.809206046574969
1,1,9,105000000.0,2048,6.792555359326179
1,1,12,262000.0,512,6.520179956966812
1,1,12,262000.0,1024,6.593696426216537
1,1,12,262000.0,2048,6.709158000670916
1,1,12,1050000.0,512,6.666222251849876
1,1,12,1050000.0,1024,6.70690811535882
1,1,12,1050000.0,2048,6.827802813054759
1,1,12,5240000.0,512,6.6405471810877215
1,1,12,5240000.0,1024,6.754474839581222
1,1,12,5240000.0,2048,6.854479402289396
1,1,12,10500000.0,512,6.771856165775039
1,1,12,10500000.0,1024,6.679580522343197
1,1,12,10500000.0,2048,6.78334011667345
1,1,12,105000000.0,512,7.032348804500703
1,1,12,105000000.0,1024,6.869547296833138
1,1,12,105000000.0,2048,6.883733737179046
1,2,1,262000.0,512,12.63551590811453
1,2,1,262000.0,1024,12.692288165710513
1,2,1,262000.0,2048,12.554612564656255
1,2,1,1050000.0,512,12.77367600848172
1,2,1,1050000.0,1024,12.746322685905117
1,2,1,1050000.0,2048,12.802294171115463
1,2,1,5240000.0,512,12.385127938371603
1,2,1,5240000.0,1024,12.57118433127585
1,2,1,5240000.0,2048,12.413108242303872
1,2,1,10500000.0,512,12.67427122940431
1,2,1,10500000.0,1024,12.37026682665545
1,2,1,10500000.0,2048,12.533998470852186
1,2,1,105000000.0,512,12.480343459051992
1,2,1,105000000.0,1024,12.369807773187205
1,2,1,105000000.0,2048,12.80376942972011
1,2,2,262000.0,512,8.83158173628897
1,2,2,262000.0,1024,8.881783462119193
1,2,2,262000.0,2048,8.98876404494382
1,2,2,1050000.0,512,9.33009889904833
1,2,2,1050000.0,1024,8.847208705653367
1,2,2,1050000.0,2048,9.00900900900901
1,2,2,5240000.0,512,8.900756564307967
1,2,2,5240000.0,1024,9.108297659167501
1,2,2,5240000.0,2048,8.840951286358413
1,2,2,10500000.0,512,8.847991505928155
1,2,2,10500000.0,1024,8.940545373267769
1,2,2,10500000.0,2048,8.965393580778196
1,2,2,105000000.0,512,8.990380293086398
1,2,2,105000000.0,1024,9.035872413481522
1,2,2,105000000.0,2048,8.729812309035356
1,2,3,262000.0,512,6.939143709666228
1,2,3,262000.0,1024,6.963303391128751
1,2,3,262000.0,2048,6.9920290868410016
1,2,3,1050000.0,512,6.979828296223913
1,2,3,1050000.0,1024,6.972042111134352
1,2,3,1050000.0,2048,7.092701610043266
1,2,3,5240000.0,512,6.862005077883758
1,2,3,5240000.0,1024,7.043741635556808
1,2,3,5240000.0,2048,6.8455640744797375
1,2,3,10500000.0,512,7.112375533428165
1,2,3,10500000.0,1024,6.856829402084476
1,2,3,10500000.0,2048,7.091695624423799
1,2,3,105000000.0,512,7.144898542440697
1,2,3,105000000.0,1024,7.037297677691766
1,2,3,105000000.0,2048,6.979341150195421
1,2,6,262000.0,512,5.896574090453447
1,2,6,262000.0,1024,5.721478430026319
1,2,6,262000.0,2048,5.943536404160476
1,2,6,1050000.0,512,5.587216448765226
1,2,6,1050000.0,1024,5.780680964217585
1,2,6,1050000.0,2048,5.700604264051989
1,2,6,5240000.0,512,5.81767409389726
1,2,6,5240000.0,1024,5.74514535217741
1,2,6,5240000.0,2048,5.993766482857827
1,2,6,10500000.0,512,6.10016470444702
1,2,6,10500000.0,1024,5.837711617046118
1,2,6,10500000.0,2048,5.741187277528993
1,2,6,105000000.0,512,5.853772756541591
1,2,6,105000000.0,1024,5.715265474081271
1,2,6,105000000.0,2048,6.077180188392586
1,2,9,262000.0,512,5.283178360101437
1,2,9,262000.0,1024,5.162356099323731
1,2,9,262000.0,2048,5.002000800320128
1,2,9,1050000.0,512,5.294086505373498
1,2,9,1050000.0,1024,5.205893070956322
1,2,9,1050000.0,2048,5.211862198363475
1,2,9,5240000.0,512,5.117445371270661
1,2,9,5240000.0,1024,5.067653169817058
