spouts,max_spout,spout_wait,spliters,counters,netty_min_wait,$<throughput
1,1,1,1,1,10,45.01868275334263
1,1,1,1,1,100,44.39708755105665
1,1,1,1,1,1000,42.751485614125095
1,1,1,1,3,10,46.50297619047619
1,1,1,1,3,100,44.93574188909859
1,1,1,1,3,1000,44.78079799382025
1,1,1,1,6,10,45.13653802753329
1,1,1,1,6,100,47.06546806607992
1,1,1,1,6,1000,44.232130219391365
1,1,1,1,12,10,50.17057997190447
1,1,1,1,12,100,45.28165187466038
1,1,1,1,12,1000,45.462811420258234
1,1,1,2,1,10,42.06275763439051
1,1,1,2,1,100,41.128567903265605
1,1,1,2,1,1000,41.203131437989285
1,1,1,2,3,10,46.43603436266543
1,1,1,2,3,100,46.596151157914356
1,1,1,2,3,1000,45.558086560364465
1,1,1,2,6,10,45.92211609110948
1,1,1,2,6,100,45.21613311629589
1,1,1,2,6,1000,44.446419840881816
1,1,1,2,12,10,45.417385775274774
1,1,1,2,12,100,44.63090243684727
1,1,1,2,12,1000,47.803432286438166
1,1,1,3,1,10,32.75681341719078
1,1,1,3,1,100,35.88087549336204
1,1,1,3,1,1000,35.95958143047215
1,1,1,3,3,10,33.149903865278795
1,1,1,3,3,100,32.56480395988016
1,1,1,3,3,1000,32.97717979158422
1,1,1,3,6,10,34.91742030098816
1,1,1,3,6,100,35.40574989378275
1,1,1,3,6,1000,34.04371212637026
1,1,1,3,12,10,37.88452795878163
1,1,1,3,12,100,34.321801208127404
1,1,1,3,12,1000,35.57073240138014
1,1,1,6,1,10,40.00960230455309
1,1,1,6,1,100,37.41394791978449
1,1,1,6,1,1000,36.392750564087635
1,1,1,6,3,10,33.08628904182107
1,1,1,6,3,100,33.210454651124174
1,1,1,6,3,1000,34.41037817005609
1,1,1,6,6,10,35.181536729524346
1,1,1,6,6,100,34.09362108349528
1,1,1,6,6,1000,34.508937814894054
1,1,1,6,12,10,35.36067892503536
1,1,1,6,12,100,35.048366746109636
1,1,1,6,12,1000,36.060726263026936
1,1,2,1,1,10,51.284681265705935
1,1,2,1,1,100,48.576702613426605
1,1,2,1,1,1000,52.509976895610166
1,1,2,1,3,10,48.50601474582849
1,1,2,1,3,100,49.03402961655389
1,1,2,1,3,1000,48.55311711011847
1,1,2,1,6,10,52.61496369567505
1,1,2,1,6,100,49.39735230191661
1,1,2,1,6,1000,52.55136896316149
1,1,2,1,12,10,53.44449788894234
