spout_wait,spliters,counters,$<throughput
1,1,1,12.490320001998452
1,1,2,9.243852837862821
1,1,3,8.619946556331351
1,1,4,8.667764583513911
1,1,5,7.692899453804139
1,1,6,8.14000814000814
1,1,7,8.311170212765957
1,1,8,7.336757153338224
1,1,9,8.21827744904668
1,1,10,7.659900421294523
1,1,11,6.896551724137931
1,1,12,8.170602173380178
1,1,13,7.939028262940616
1,1,14,6.292870178088226
1,1,15,7.596475235490733
1,1,16,7.824113919098662
1,1,17,6.065384848668648
1,1,18,7.714858818083629
1,2,1,11.644561407594582
1,2,2,8.68507903421921
1,2,3,8.004482510205715
1,2,4,7.016066792955869
1,2,5,6.822213125938054
1,2,6,7.020499859590003
1,2,7,6.582411795681938
1,2,8,6.1474150119874595
1,2,9,6.503219093451259
1,2,10,5.97442944198829
1,2,11,5.94565669778227
1,2,12,6.317119393556538
1,2,13,6.140243153628884
1,2,14,5.741516908767296
1,2,15,6.049972775122512
1,2,16,5.455239757787354
1,2,17,5.308137374595255
1,2,18,6.321512105695683
1,3,1,12.649261283141064
1,3,2,8.336807002917883
1,3,3,7.416196974191634
1,3,4,6.976419701409236
1,3,5,6.736274840013473
1,3,6,6.828735318219066
1,3,7,6.238692370079232
1,3,8,6.042296072507553
1,3,9,5.813277525869085
1,3,10,5.623031938821413
1,3,11,5.719514985129261
1,3,12,5.474052988832932
1,3,13,5.4878718033146745
1,3,14,5.748447919061853
1,3,15,5.206706237634073
1,3,16,5.318866017765012
1,3,17,5.045917852457362
1,3,18,5.362792942564488
1,4,1,12.052113338073832
1,4,2,8.350730688935283
1,4,3,7.164350193437455
1,4,4,7.040270346381301
1,4,5,6.590654451987082
1,4,6,6.411900487304437
1,4,7,6.3905930470347645
1,4,8,6.048509042521019
1,4,9,6.407381303261357
1,4,10,5.659629860207143
1,4,11,5.640794223826715
1,4,12,5.407451468123074
1,4,13,5.344735435595938
1,4,14,5.7019044360816515
1,4,15,5.4336013910019565
1,4,16,5.654509471303364
1,4,17,5.026388539834129
1,4,18,5.317169139150316
1,5,1,11.931038596909861
1,5,2,8.775778850372971
1,5,3,7.317965605561654
1,5,4,6.835737234260715
1,5,5,6.685385746757588
1,5,6,6.496037417175523
1,5,7,6.258213905751298
1,5,8,6.423432682425489
1,5,9,5.852744937375629
1,5,10,5.453157378121933
1,5,11,5.668934240362812
1,5,12,5.3792361484669176
1,5,13,5.439512619669277
1,5,14,5.649398339076888
1,5,15,5.167958656330749
1,5,16,5.121901249743905
1,5,17,4.904124368593988
1,5,18,5.152248956669586
1,6,1,11.849043189762426
1,6,2,8.795074758135444
1,6,3,7.154099298898268
1,6,4,7.124536905101168
1,6,5,6.749460043196544
1,6,6,6.422195106287329
1,6,7,6.688068485821295
1,6,8,6.018295618680789
1,6,9,5.66700668706789
1,6,10,5.448403617740002
1,6,11,5.554321261941791
1,6,12,5.273983439692
1,6,13,5.561116672227783
1,6,14,5.48305735277991
1,6,15,5.094503031229303
1,6,16,5.19318653926049
1,6,17,4.994007191370356
1,6,18,5.221386800334169
2,1,1,11.994290717618414
2,1,2,8.528057308545113
2,1,3,7.810059356451109
2,1,4,7.995522507395858
2,1,5,7.1438776968138304
2,1,6,8.303578842481109
2,1,7,7.833307222309259
2,1,8,6.812453164384495
2,1,9,7.68344218209758
2,1,10,7.173601147776184
2,1,11,6.206554121151936
2,1,12,7.371369600471768
2,1,13,7.377895824110963
2,1,14,6.0360958532021485
2,1,15,7.203054094936253
2,1,16,7.106310403638431
2,1,17,6.1515748031496065
2,1,18,7.216048491845865
2,2,1,10.99722869836801
2,2,2,8.39348665435622
2,2,3,7.71962328238382
2,2,4,6.875214850464077
2,2,5,6.704210244033253
2,2,6,6.782880010852608
2,2,7,6.376737661012626
2,2,8,5.933661662611998
2,2,9,6.417249566835654
2,2,10,5.756058251309503
2,2,11,5.7770075101097635
2,2,12,5.901445854234288
2,2,13,5.584096493187403
2,2,14,5.5432372505543235
2,2,15,6.03974149906384
2,2,16,5.4024851431658565
2,2,17,5.189682910374176
2,2,18,5.716572343223003
2,3,1,11.755854415498918
2,3,2,8.030193527664016
2,3,3,6.70555890833501
2,3,4,6.817562039814562
2,3,5,6.341958396752918
2,3,6,6.265664160401003
2,3,7,6.352029473416756
2,3,8,6.0270009643201545
2,3,9,5.769674590353104
2,3,10,5.553395901593825
2,3,11,5.59190292456523
2,3,12,5.301664722722935
2,3,13,5.374032674118658
2,3,14,5.44069640914037
2,3,15,5.14562107646393
2,3,16,5.208604614823689
2,3,17,5.20751965838671
2,3,18,5.14615067929189
2,4,1,11.624933156634349
2,4,2,7.991688643810437
2,4,3,6.7503712704198735
2,4,4,7.348618459729571
2,4,5,6.894174422612892
2,4,6,6.045218232378189
2,4,7,6.2000124000248
2,4,8,5.806863712908658
2,4,9,5.5570991942206165
2,4,10,5.271759186040382
2,4,11,5.729017473503294
2,4,12,5.258176464402145
2,4,13,5.238344683080147
2,4,14,5.287368476709142
2,4,15,4.976609933313427
2,4,16,5.175715542673775
2,4,17,5.17250297418921
2,4,18,5.206164098292378
2,5,1,11.294585375770856
2,5,2,8.167265599477295
2,5,3,6.706458319361545
2,5,4,6.499415052645262
2,5,5,6.400409626216078
2,5,6,6.516780710329098
2,5,7,6.076810889645114
2,5,8,6.025548324897565
2,5,9,5.72967398155045
2,5,10,5.573204034999721
2,5,11,5.533115697449234
2,5,12,5.5925283820815395
2,5,13,5.33304890405845
2,5,14,5.385899714547315
2,5,15,5.149065444621801
2,5,16,5.36135535063264
2,5,17,4.948290365678658
2,5,18,5.010271055664111
2,6,1,11.362474292401913
2,6,2,7.9258143774272805
2,6,3,6.934331877123639
2,6,4,6.741270055278415
2,6,5,6.309148264984227
2,6,6,6.049606775559589
2,6,7,6.055101422948835
2,6,8,5.76601510695958
2,6,9,5.497223901929526
2,6,10,5.13347022587269
2,6,11,5.532197388802833
2,6,12,5.166890565257828
2,6,13,5.026893882270145
2,6,14,5.3008216273522395
2,6,15,4.959333465582226
2,6,16,5.148800329523221
2,6,17,4.578335317278637
2,6,18,5.5129830751419595
3,1,1,12.164710175780062
3,1,2,8.13206473123526
3,1,3,7.957981855801369
3,1,4,8.225037012666556
3,1,5,6.8338686530444885
3,1,6,8.301510874979247
3,1,7,8.124796880077998
3,1,8,6.815703380588877
3,1,9,7.52049334436339
3,1,10,7.109341674960898
3,1,11,6.6037112857425875
3,1,12,7.534091765237701
