0,1,2,Actual_Performance
8.0,2.0,5.0,13742.11672840912
2.0,64.0,5.0,9634.041019189786
0.0,15.0,4.0,15515.878663024825
2.0,7.0,4.0,12812.365678641587
5.0,19.0,4.0,9137.2560612815
3.0,25.0,3.0,9487.705857315666
3.0,25.0,4.0,9509.975606836491
8.0,7.0,3.0,9496.768713998616
5.0,35.0,4.0,7692.690066343621
2.0,32.0,5.0,10347.907249363318
8.0,1.0,5.0,13266.239901669867
0.0,8.0,4.0,16601.92044972663
5.0,19.0,3.0,9273.632694413149
1.0,32.0,5.0,11385.08081670301
8.0,25.0,4.0,8523.060822228284
7.0,22.0,3.0,8559.125085891355
2.0,25.0,3.0,10279.134798316447
5.0,14.0,4.0,9554.710348850673
4.0,19.0,4.0,9812.582394353178
0.0,8.0,5.0,17320.253196128277
0.0,36.0,2.0,11408.485340274368
3.0,32.0,5.0,9493.948551022511
3.0,7.0,3.0,11690.454540734152
8.0,19.0,3.0,8461.72010017123
5.0,8.0,5.0,10513.255294154189
1.0,35.0,4.0,10238.254281258023
6.0,36.0,1.0,7298.125343387746
3.0,7.0,4.0,11733.605068983192
8.0,2.0,5.0,13742.11672840912
2.0,64.0,5.0,9634.041019189786
0.0,15.0,4.0,15515.878663024825
2.0,7.0,4.0,12812.365678641587
5.0,19.0,4.0,9137.2560612815
3.0,25.0,3.0,9487.705857315666
3.0,25.0,4.0,9509.975606836491
8.0,7.0,3.0,9496.768713998616
5.0,35.0,4.0,7692.690066343621
2.0,32.0,5.0,10347.907249363318
8.0,1.0,5.0,13266.239901669867
0.0,8.0,4.0,16601.92044972663
5.0,19.0,3.0,9273.632694413149
1.0,32.0,5.0,11385.08081670301
8.0,25.0,4.0,8523.060822228284
7.0,22.0,3.0,8559.125085891355
2.0,25.0,3.0,10279.134798316447
5.0,14.0,4.0,9554.710348850673
4.0,19.0,4.0,9812.582394353178
0.0,8.0,5.0,17320.253196128277
0.0,36.0,2.0,11408.485340274368
3.0,32.0,5.0,9493.948551022511
3.0,7.0,3.0,11690.454540734152
8.0,19.0,3.0,8461.72010017123
5.0,8.0,5.0,10513.255294154189
1.0,35.0,4.0,10238.254281258023
6.0,36.0,1.0,7298.125343387746
3.0,7.0,4.0,11733.605068983192
