0,1,2,3,4,5,Actual_Performance
3.0,100.0,4.0,10.0,100.0,3.0,79.564
1.0,100.0,4.0,1000.0,100000.0,3.0,309.38
3.0,100.0,5.0,10.0,10.0,1.0,131.13
1.0,1.0,5.0,10.0,10000.0,3.0,4.0497
1.0,10000.0,4.0,100.0,10000.0,1.0,4050.9
1.0,100.0,4.0,100.0,100.0,6.0,12.335999999999999
1.0,1000.0,4.0,100.0,100000.0,6.0,3185.4
1.0,10.0,3.0,1000.0,1000.0,3.0,2.7626
3.0,10000.0,3.0,1000.0,100000.0,1.0,23830.0
3.0,100.0,3.0,10.0,10.0,1.0,79.991
3.0,10000.0,5.0,10.0,1000000.0,6.0,2669.7
3.0,10000.0,3.0,10.0,10000.0,6.0,9597.3
3.0,10000.0,2.0,1000.0,10.0,1.0,6634.7
1.0,10000.0,4.0,10.0,1000000.0,3.0,8904.9
1.0,1000.0,5.0,1000.0,1000.0,3.0,36.579
3.0,100.0,5.0,100.0,100.0,6.0,100.18
1.0,10000.0,2.0,1000.0,10000.0,6.0,1958.2
3.0,10.0,5.0,100.0,1000000.0,1.0,1473.6
1.0,10.0,5.0,1000.0,1000000.0,2.0,505.73
1.0,1.0,5.0,10.0,100000.0,2.0,12.425
1.0,1.0,2.0,10.0,10000.0,2.0,2.2845
1.0,1.0,3.0,100.0,1000.0,6.0,1.4827
3.0,100.0,5.0,100.0,100.0,1.0,132.06
3.0,1.0,3.0,100.0,100.0,6.0,1.9613
3.0,10.0,3.0,10.0,100000.0,3.0,39.465
1.0,1.0,3.0,1000.0,10.0,1.0,1.5316
1.0,100.0,2.0,1000.0,100000.0,3.0,185.37
1.0,10000.0,4.0,100.0,100000.0,6.0,17525.0
1.0,10.0,4.0,10.0,1000000.0,6.0,321.55
1.0,10.0,5.0,100.0,1000000.0,3.0,407.99
1.0,10000.0,5.0,10.0,10000.0,2.0,4086.8
3.0,1.0,5.0,100.0,10000.0,2.0,4.2659
1.0,100.0,3.0,1000.0,1000.0,3.0,9.4977
3.0,1000.0,5.0,1000.0,10000.0,6.0,1843.9
1.0,10.0,4.0,10.0,10000.0,6.0,5.013999999999999
3.0,10000.0,3.0,10.0,100000.0,1.0,18652.0
1.0,100.0,5.0,10.0,100000.0,3.0,366.11
1.0,100.0,3.0,1000.0,10000.0,1.0,41.82
3.0,1.0,5.0,10.0,1000000.0,2.0,92.514
3.0,10.0,5.0,1000.0,100000.0,6.0,81.628
3.0,1000.0,5.0,10.0,1000.0,2.0,762.22
3.0,10000.0,5.0,1000.0,100.0,6.0,26258.0
3.0,10.0,2.0,100.0,10000.0,6.0,6.2471
3.0,1000.0,2.0,1000.0,100.0,6.0,390.48
1.0,10.0,2.0,100.0,10000.0,3.0,2.5264
3.0,100.0,5.0,10.0,1000.0,1.0,153.73
3.0,1000.0,5.0,1000.0,10.0,2.0,774.51
1.0,10000.0,4.0,100.0,10.0,2.0,21.269000000000002
1.0,1000.0,5.0,1000.0,100000.0,6.0,3908.1
1.0,10000.0,5.0,10.0,10.0,1.0,2417.6
3.0,10000.0,3.0,10.0,10.0,2.0,5354.8
3.0,100.0,3.0,100.0,100.0,3.0,71.605
3.0,1.0,2.0,1000.0,10.0,1.0,1.6546
3.0,10.0,2.0,1000.0,10.0,1.0,7.0287
3.0,10000.0,3.0,1000.0,10000.0,6.0,8748.3
3.0,1.0,5.0,100.0,100.0,2.0,2.9723
1.0,1000.0,3.0,10.0,1000000.0,1.0,26218.0
1.0,100.0,4.0,1000.0,1000.0,2.0,12.255
3.0,1.0,3.0,1000.0,100000.0,1.0,8.6885
3.0,1.0,2.0,100.0,100000.0,2.0,3.6948
1.0,10.0,2.0,10.0,1000000.0,6.0,180.56
3.0,1000.0,3.0,10.0,10.0,2.0,579.18
3.0,1000.0,3.0,10.0,10000.0,1.0,1701.8
1.0,10000.0,5.0,10.0,1000000.0,6.0,2827.5
3.0,100.0,3.0,100.0,10.0,6.0,64.797
3.0,10.0,2.0,1000.0,10.0,3.0,5.3287
3.0,1.0,2.0,100.0,1000000.0,6.0,19.491
1.0,10000.0,4.0,10.0,1000000.0,2.0,6543.9
3.0,10.0,3.0,100.0,1000.0,6.0,7.822
1.0,100.0,5.0,10.0,100000.0,6.0,406.65
1.0,10000.0,2.0,1000.0,1000.0,2.0,26.82800000000001
3.0,10000.0,5.0,10.0,10000.0,6.0,25060.0
1.0,1.0,3.0,100.0,100000.0,1.0,8.0
3.0,10000.0,5.0,1000.0,100000.0,1.0,17670.0
1.0,10.0,4.0,100.0,1000000.0,1.0,284.03
3.0,100.0,2.0,1000.0,100.0,2.0,55.928999999999995
3.0,1.0,4.0,100.0,1000.0,1.0,2.5989
3.0,1.0,3.0,10.0,10.0,1.0,2.1753
3.0,1.0,3.0,1000.0,1000.0,3.0,2.0207
3.0,100.0,2.0,1000.0,10.0,6.0,41.486999999999995
3.0,1.0,4.0,1000.0,1000000.0,2.0,78.95
1.0,1000.0,2.0,10.0,10000.0,1.0,387.37
3.0,10000.0,2.0,1000.0,1000000.0,1.0,7348.8
3.0,1.0,3.0,100.0,1000000.0,1.0,88.214
3.0,100.0,4.0,100.0,100.0,6.0,82.916
3.0,10.0,3.0,1000.0,1000000.0,6.0,376.11
1.0,1000.0,4.0,100.0,100.0,2.0,41.287
1.0,1000.0,4.0,100.0,100.0,6.0,42.888999999999996
1.0,10.0,5.0,1000.0,10000.0,1.0,8.1497
1.0,10.0,5.0,100.0,1000000.0,2.0,485.35
3.0,100.0,4.0,1000.0,10000.0,3.0,119.97
1.0,1000.0,4.0,10.0,100.0,3.0,43.247
1.0,100.0,2.0,100.0,1000000.0,6.0,1829.6
1.0,10000.0,5.0,1000.0,10000.0,3.0,3157.0
1.0,10000.0,4.0,1000.0,1000000.0,2.0,6470.3
3.0,10.0,2.0,100.0,1000000.0,2.0,303.0
1.0,1.0,2.0,10.0,10.0,3.0,1.2069
1.0,1.0,5.0,100.0,1000.0,3.0,2.3122
1.0,1.0,3.0,10.0,1000.0,1.0,1.5678
1.0,1.0,4.0,100.0,1000.0,1.0,1.6017
