0,1,2,Actual_Performance
10000.0,1.0,15.0,6260.9
1000.0,6.0,9.0,345.38
10.0,2.0,18.0,5.704
100000.0,1.0,12.0,49666.0
100.0,6.0,6.0,46.838
1.0,3.0,9.0,2.2873
100.0,2.0,12.0,39.596
1.0,1.0,6.0,2.5477
100000.0,2.0,18.0,28518.0
100000.0,3.0,1.0,64176.0
100000.0,3.0,3.0,1781.5
1000000.0,3.0,15.0,1784.3
100.0,3.0,6.0,55.608999999999995
1000.0,2.0,9.0,357.24
10.0,3.0,15.0,6.9694
1.0,3.0,12.0,2.2376
1000000.0,6.0,9.0,911.97
1000000.0,3.0,6.0,1747.9
1.0,3.0,3.0,2.2434
100.0,2.0,3.0,60.38
10.0,1.0,6.0,8.4104
100.0,6.0,12.0,35.825
100.0,1.0,6.0,62.246
1000000.0,2.0,15.0,71418.0
10.0,1.0,15.0,8.2902
100.0,3.0,9.0,51.501999999999995
10.0,6.0,15.0,5.2717
10000.0,1.0,15.0,6260.9
1000.0,6.0,9.0,345.38
10.0,2.0,18.0,5.704
100000.0,1.0,12.0,49666.0
100.0,6.0,6.0,46.838
1.0,3.0,9.0,2.2873
100.0,2.0,12.0,39.596
1.0,1.0,6.0,2.5477
100000.0,2.0,18.0,28518.0
100000.0,3.0,1.0,64176.0
100000.0,3.0,3.0,1781.5
1000000.0,3.0,15.0,1784.3
100.0,3.0,6.0,55.608999999999995
1000.0,2.0,9.0,357.24
10.0,3.0,15.0,6.9694
1.0,3.0,12.0,2.2376
1000000.0,6.0,9.0,911.97
1000000.0,3.0,6.0,1747.9
1.0,3.0,3.0,2.2434
100.0,2.0,3.0,60.38
10.0,1.0,6.0,8.4104
100.0,6.0,12.0,35.825
100.0,1.0,6.0,62.246
1000000.0,2.0,15.0,71418.0
10.0,1.0,15.0,8.2902
100.0,3.0,9.0,51.501999999999995
10.0,6.0,15.0,5.2717
