0,1,2,Actual_Performance
10.0,2.0,6.0,6.481
10000.0,6.0,12.0,1047.6
10000.0,2.0,18.0,3296.5
1.0,2.0,18.0,2.4647
10000.0,6.0,18.0,1099.8
1000.0,1.0,3.0,553.74
1000.0,2.0,1.0,1239.5
10.0,1.0,6.0,8.1247
1.0,2.0,9.0,2.4306
100.0,6.0,12.0,41.478
100.0,3.0,15.0,51.463
10.0,3.0,6.0,7.2908
10000.0,1.0,9.0,3340.5
100000.0,3.0,18.0,1635.1
1000000.0,1.0,6.0,36772.0
1000.0,3.0,6.0,549.73
1000.0,6.0,15.0,251.19
1.0,2.0,6.0,2.3538
10000.0,3.0,9.0,1802.8
100.0,1.0,15.0,53.538999999999994
100.0,3.0,18.0,53.927
10.0,6.0,1.0,13.959000000000001
1000000.0,6.0,6.0,856.82
1.0,6.0,12.0,2.2277
100.0,3.0,9.0,54.396
10.0,2.0,15.0,5.6023
100000.0,1.0,9.0,17797.0
10.0,2.0,6.0,6.481
10000.0,6.0,12.0,1047.6
10000.0,2.0,18.0,3296.5
1.0,2.0,18.0,2.4647
10000.0,6.0,18.0,1099.8
1000.0,1.0,3.0,553.74
1000.0,2.0,1.0,1239.5
10.0,1.0,6.0,8.1247
1.0,2.0,9.0,2.4306
100.0,6.0,12.0,41.478
100.0,3.0,15.0,51.463
10.0,3.0,6.0,7.2908
10000.0,1.0,9.0,3340.5
100000.0,3.0,18.0,1635.1
1000000.0,1.0,6.0,36772.0
1000.0,3.0,6.0,549.73
1000.0,6.0,15.0,251.19
1.0,2.0,6.0,2.3538
10000.0,3.0,9.0,1802.8
100.0,1.0,15.0,53.538999999999994
100.0,3.0,18.0,53.927
10.0,6.0,1.0,13.959000000000001
1000000.0,6.0,6.0,856.82
1.0,6.0,12.0,2.2277
100.0,3.0,9.0,54.396
10.0,2.0,15.0,5.6023
100000.0,1.0,9.0,17797.0
