0,1,2,Actual_Performance
1000.0,3.0,9.0,1.7314818021262597
1.0,3.0,1.0,14.435638704834494
10.0,1.0,9.0,3.489548801339987
1000.0,3.0,7.0,2.082378909666403
10.0,6.0,6.0,3.1853220360578454
1000.0,4.0,10.0,1.8140918656120744
100.0,5.0,14.0,1.9686201941059511
10.0,4.0,1.0,3.518648838845883
10000.0,5.0,16.0,1.8941546387847104
1000.0,3.0,15.0,1.7319616197305068
1000.0,3.0,17.0,1.679571373385512
1000000.0,5.0,11.0,1.8538430165733568
10000.0,5.0,17.0,1.7761358388689568
10.0,5.0,7.0,3.3441460723004384
1000000.0,3.0,8.0,1.7206669305022626
100.0,1.0,8.0,1.9532012969256607
1000.0,6.0,7.0,2.4727992087042527
1.0,5.0,4.0,15.30245298321321
1000.0,1.0,2.0,1.8837358248879177
1000000.0,4.0,5.0,2.3934897079942554
100.0,5.0,17.0,1.8860095809286712
1000000.0,1.0,5.0,1.4489813660996318
1.0,3.0,16.0,15.073861923424781
1000000.0,6.0,9.0,2.1864136257297155
10.0,2.0,18.0,3.299132328197684
1000000.0,2.0,14.0,1.1478552324980773
1.0,5.0,5.0,14.055603969302561
100.0,1.0,15.0,1.8289560318969933
100000.0,1.0,10.0,1.5284910736121302
1000000.0,3.0,10.0,1.758643733952376
100000.0,6.0,4.0,2.2739159105896265
100.0,5.0,4.0,2.543881963876876
1000.0,1.0,12.0,1.4982844642883897
1.0,2.0,13.0,17.84885588833755
100000.0,1.0,5.0,1.6538493343256429
1.0,6.0,4.0,13.0025484995059
100.0,6.0,11.0,2.131741632914091
1000.0,4.0,6.0,1.9445416715280208
1.0,1.0,4.0,17.709145002479282
10.0,5.0,2.0,3.169773044250032
1000000.0,6.0,6.0,2.290583411594933
1000000.0,4.0,6.0,2.129199846697611
1000.0,1.0,1.0,1.9801195992237928
10000.0,4.0,3.0,2.74310794129749
1000000.0,2.0,12.0,1.2577350706847108
10000.0,5.0,10.0,1.7745284190726314
1000.0,5.0,16.0,1.8693685273114744
1.0,4.0,2.0,12.612567161920134
1000000.0,1.0,13.0,1.2202562538133008
10.0,2.0,13.0,3.2599837000814995
1000000.0,6.0,13.0,2.120575948427593
1000.0,1.0,13.0,1.4799248198191532
1000.0,2.0,18.0,1.5353200374618092
10.0,1.0,14.0,3.624895784246204
100000.0,1.0,6.0,1.5515903801396431
1000000.0,1.0,9.0,1.2061998673180143
10.0,6.0,1.0,3.2972830387760483
1000.0,5.0,12.0,1.7937219730941705
100000.0,1.0,16.0,1.5775358889414737
10.0,4.0,13.0,3.347728566167856
1.0,4.0,4.0,14.459015919376526
10000.0,4.0,15.0,1.8026462847460072
1000000.0,4.0,12.0,1.8644889435805645
10.0,1.0,10.0,3.5405749893782748
1000000.0,2.0,16.0,1.4337123112876171
1000.0,1.0,3.0,1.872729315704708
1000000.0,5.0,13.0,1.8355696690467889
10000.0,5.0,4.0,2.7640343845877444
1000.0,2.0,4.0,2.041816399869324
1.0,5.0,14.0,15.624023498531349
1000.0,4.0,18.0,1.7557412739658684
100000.0,5.0,1.0,3.53045013239188
100.0,1.0,1.0,2.1980920560953088
1000000.0,4.0,15.0,1.7786631567713709
10000.0,5.0,15.0,1.8305965914291469
10000.0,2.0,9.0,1.4961324974939785
10000.0,3.0,16.0,1.7272947110235948
10.0,2.0,9.0,3.2315398287283887
100000.0,6.0,9.0,2.2028857803722883
1000.0,2.0,7.0,1.7677526560483656
10000.0,5.0,18.0,1.814453940086731
1.0,1.0,11.0,18.866500641461023
100000.0,4.0,13.0,1.7916330735465378
10000.0,5.0,3.0,2.7384505846592004
1000.0,6.0,2.0,1.825683718552598
1000000.0,2.0,5.0,1.584007856678969
100000.0,3.0,18.0,1.7002176278563657
1000.0,4.0,9.0,1.8089397803947107
10000.0,6.0,10.0,2.1776529256767057
10.0,2.0,1.0,3.5486160397445
100.0,1.0,10.0,1.8744493804944797
10000.0,4.0,10.0,1.9183180187611504
10.0,6.0,15.0,3.2378177108628785
10.0,6.0,11.0,3.23530363324598
10000.0,6.0,6.0,2.246989034693511
100.0,2.0,18.0,1.7867991280420257
1.0,6.0,6.0,12.87465238438562
1000000.0,2.0,3.0,1.6174948240165632
10000.0,4.0,18.0,1.881113619262604
100.0,3.0,9.0,1.8666119127172267
10.0,4.0,2.0,3.3992793527772114
1000.0,3.0,9.0,1.7314818021262597
1.0,3.0,1.0,14.435638704834494
10.0,1.0,9.0,3.489548801339987
1000.0,3.0,7.0,2.082378909666403
10.0,6.0,6.0,3.1853220360578454
1000.0,4.0,10.0,1.8140918656120744
100.0,5.0,14.0,1.9686201941059511
10.0,4.0,1.0,3.518648838845883
10000.0,5.0,16.0,1.8941546387847104
1000.0,3.0,15.0,1.7319616197305068
1000.0,3.0,17.0,1.679571373385512
1000000.0,5.0,11.0,1.8538430165733568
10000.0,5.0,17.0,1.7761358388689568
10.0,5.0,7.0,3.3441460723004384
1000000.0,3.0,8.0,1.7206669305022626
100.0,1.0,8.0,1.9532012969256607
