0,1,2,3,4,5,Actual_Performance
3.0,100.0,10.0,6.0,3.0,1000.0,196.11
3.0,10000.0,3.0,2.0,12.0,10.0,22456.0
3.0,2.0,1.0,2.0,12.0,1000.0,7.2758
3.0,2.0,100.0,1.0,3.0,100.0,133.52
1.0,10000.0,3.0,6.0,6.0,1000.0,3390.3
1.0,10000.0,100.0,6.0,12.0,10.0,3362.6
3.0,100.0,100.0,3.0,3.0,100.0,217.49
3.0,1.0,10.0,6.0,12.0,100.0,10.681
1.0,100.0,3.0,6.0,3.0,1000.0,79.352
3.0,2.0,3.0,2.0,3.0,10.0,7.2647
3.0,10.0,2.0,2.0,3.0,1000.0,22.017
1.0,10.0,2.0,2.0,1.0,1000.0,10.148
3.0,100.0,100.0,3.0,6.0,10.0,195.86
1.0,10000.0,1.0,3.0,1.0,100.0,17216.0
3.0,1000.0,1.0,6.0,3.0,1000.0,2653.7
3.0,1000.0,10.0,3.0,1.0,100.0,12635.0
3.0,10000.0,1.0,1.0,6.0,10.0,35799.0
1.0,1000.0,10.0,3.0,3.0,1000.0,661.16
1.0,10000.0,3.0,6.0,1.0,100.0,15130.0
1.0,10.0,3.0,6.0,6.0,10.0,9.1573
3.0,10000.0,1.0,6.0,6.0,100.0,38983.0
3.0,10.0,2.0,6.0,6.0,10.0,18.569000000000006
1.0,10.0,2.0,2.0,6.0,1000.0,8.3824
3.0,10000.0,3.0,6.0,1.0,10.0,47430.0
3.0,10000.0,100.0,3.0,6.0,1000.0,31823.0
1.0,1.0,2.0,2.0,12.0,10.0,5.4703
1.0,1000.0,2.0,1.0,12.0,100.0,703.09
1.0,2.0,100.0,3.0,1.0,10.0,100.59
3.0,2.0,10.0,1.0,6.0,1000.0,11.404000000000002
3.0,10.0,1.0,1.0,12.0,1000.0,23.974
3.0,10.0,100.0,1.0,3.0,10.0,103.0
1.0,10000.0,100.0,6.0,6.0,10.0,3932.5
3.0,100.0,1.0,1.0,6.0,10.0,259.01
1.0,2.0,1.0,1.0,3.0,1000.0,4.5601
1.0,10.0,3.0,1.0,3.0,100.0,8.7962
3.0,2.0,3.0,1.0,12.0,100.0,7.7584
1.0,10000.0,10.0,2.0,6.0,10.0,4593.9
3.0,10.0,10.0,6.0,3.0,1000.0,19.721
3.0,10.0,1.0,2.0,12.0,100.0,21.372
3.0,1000.0,3.0,6.0,6.0,100.0,1518.7
1.0,1000.0,3.0,6.0,3.0,10.0,650.79
1.0,1000.0,3.0,1.0,1.0,100.0,987.96
1.0,10000.0,10.0,2.0,12.0,100.0,3656.1
3.0,10.0,2.0,3.0,12.0,10.0,19.528
3.0,10.0,100.0,6.0,12.0,100.0,101.23
3.0,1000.0,2.0,1.0,12.0,10.0,2629.6
3.0,10000.0,3.0,3.0,1.0,100.0,43188.0
3.0,1.0,3.0,2.0,6.0,10.0,5.926
1.0,2.0,10.0,6.0,6.0,10.0,10.745
1.0,1000.0,10.0,2.0,12.0,10.0,574.9
1.0,10.0,10.0,2.0,1.0,100.0,16.725
1.0,1.0,2.0,2.0,12.0,100.0,5.1627
1.0,100.0,3.0,1.0,6.0,100.0,80.33
3.0,10.0,2.0,3.0,1.0,100.0,34.41
1.0,100.0,2.0,6.0,3.0,1000.0,82.038
3.0,1000.0,3.0,1.0,12.0,100.0,2410.0
1.0,2.0,2.0,2.0,6.0,100.0,5.1917
1.0,10000.0,3.0,2.0,3.0,10.0,12779.0
3.0,1000.0,2.0,3.0,1.0,1000.0,13390.0
3.0,10000.0,2.0,6.0,6.0,100.0,39887.0
3.0,2.0,100.0,1.0,12.0,100.0,100.4
1.0,10.0,1.0,2.0,6.0,1000.0,8.4146
1.0,1000.0,1.0,3.0,6.0,100.0,643.52
3.0,1000.0,1.0,3.0,1.0,100.0,13236.0
1.0,10.0,10.0,2.0,6.0,10.0,12.179
3.0,10000.0,10.0,1.0,6.0,10.0,35362.0
3.0,10.0,10.0,6.0,3.0,100.0,19.046
3.0,10.0,3.0,1.0,6.0,100.0,21.048000000000002
1.0,10.0,100.0,1.0,1.0,100.0,100.88
3.0,10000.0,100.0,2.0,1.0,10.0,36854.0
3.0,1000.0,100.0,2.0,6.0,1000.0,1586.6
1.0,100.0,10.0,2.0,1.0,1000.0,134.91
1.0,1000.0,1.0,6.0,6.0,1000.0,633.45
1.0,1000.0,1.0,1.0,3.0,10.0,733.88
1.0,1.0,10.0,1.0,1.0,1000.0,11.148
3.0,1000.0,3.0,2.0,1.0,100.0,7795.6
3.0,10.0,100.0,3.0,6.0,1000.0,106.3
3.0,10.0,100.0,3.0,6.0,10.0,104.49
1.0,10.0,10.0,3.0,3.0,100.0,13.692
3.0,100.0,3.0,2.0,12.0,1000.0,215.19
1.0,100.0,1.0,3.0,12.0,1000.0,79.929
1.0,100.0,2.0,3.0,6.0,10.0,77.449
3.0,10000.0,10.0,3.0,6.0,10.0,33033.0
1.0,2.0,3.0,1.0,6.0,100.0,6.3747
1.0,1000.0,100.0,2.0,1.0,100.0,1130.1
1.0,10.0,3.0,3.0,1.0,100.0,12.117
1.0,1000.0,2.0,1.0,12.0,1000.0,608.04
3.0,1000.0,10.0,3.0,1.0,1000.0,12102.0
1.0,1000.0,100.0,2.0,12.0,1000.0,496.04
3.0,1000.0,3.0,2.0,3.0,100.0,2309.4
1.0,2.0,2.0,2.0,3.0,100.0,5.2255
1.0,100.0,2.0,1.0,6.0,10.0,76.439
1.0,10000.0,3.0,2.0,1.0,100.0,24345.0
3.0,10000.0,10.0,6.0,6.0,1000.0,37016.0
1.0,100.0,2.0,2.0,6.0,1000.0,63.24100000000001
3.0,10000.0,1.0,2.0,3.0,10.0,31867.0
3.0,1000.0,2.0,1.0,6.0,10.0,2706.7
3.0,10.0,1.0,2.0,1.0,1000.0,37.609
1.0,1000.0,1.0,1.0,12.0,1000.0,679.93
3.0,100.0,100.0,2.0,6.0,1000.0,198.05
3.0,1.0,3.0,1.0,1.0,1000.0,6.2969
1.0,10.0,3.0,2.0,6.0,1000.0,9.6342
1.0,10000.0,3.0,2.0,3.0,1000.0,8636.0
3.0,2.0,1.0,2.0,6.0,10.0,7.1776
3.0,2.0,1.0,6.0,3.0,1000.0,5.9745
3.0,10.0,10.0,2.0,12.0,100.0,19.56
3.0,100.0,2.0,6.0,1.0,1000.0,379.01
1.0,10.0,1.0,1.0,6.0,1000.0,9.9221
1.0,10000.0,100.0,1.0,12.0,100.0,4522.4
3.0,1000.0,1.0,3.0,12.0,1000.0,1727.9
3.0,100.0,100.0,6.0,1.0,10.0,318.11
3.0,100.0,3.0,2.0,1.0,10.0,354.03
3.0,1.0,100.0,3.0,12.0,1000.0,100.75
1.0,1.0,10.0,6.0,12.0,1000.0,10.662
1.0,10000.0,100.0,6.0,1.0,1000.0,11095.0
3.0,1000.0,3.0,1.0,3.0,100.0,1816.1
1.0,10000.0,1.0,1.0,12.0,10.0,4862.0
3.0,1.0,2.0,3.0,12.0,10.0,5.0359
3.0,2.0,2.0,2.0,6.0,10.0,7.0113
3.0,10000.0,2.0,1.0,6.0,1000.0,38349.0
1.0,1000.0,100.0,3.0,1.0,100.0,1040.9
1.0,100.0,100.0,3.0,1.0,1000.0,130.16
1.0,100.0,100.0,2.0,6.0,10.0,113.32
1.0,2.0,10.0,2.0,1.0,1000.0,10.946
3.0,10000.0,2.0,6.0,12.0,100.0,25140.0
1.0,100.0,2.0,1.0,12.0,100.0,68.169
3.0,100.0,10.0,6.0,12.0,10.0,159.59
3.0,1.0,100.0,3.0,6.0,1000.0,100.4
3.0,10000.0,1.0,6.0,1.0,10.0,42849.0
1.0,1000.0,2.0,6.0,6.0,10.0,567.78
1.0,100.0,100.0,1.0,12.0,1000.0,121.0
3.0,2.0,100.0,6.0,12.0,100.0,100.41
3.0,100.0,10.0,6.0,12.0,1000.0,168.73
3.0,10.0,10.0,3.0,1.0,10.0,32.113
3.0,1.0,10.0,3.0,6.0,100.0,10.869000000000002
1.0,1000.0,10.0,3.0,12.0,10.0,572.63
1.0,10000.0,1.0,6.0,12.0,1000.0,3217.9
1.0,10000.0,2.0,6.0,12.0,100.0,4340.8
3.0,100.0,1.0,2.0,12.0,10.0,230.42
1.0,10.0,2.0,2.0,6.0,100.0,9.386000000000001
1.0,1.0,3.0,1.0,6.0,10.0,6.1188
3.0,10000.0,3.0,2.0,6.0,1000.0,26137.0
3.0,2.0,10.0,1.0,1.0,100.0,14.373
1.0,1.0,10.0,2.0,12.0,100.0,10.94
