0,1,2,Actual_Performance
10000.0,2.0,11.0,315.4574132492114
10000.0,6.0,14.0,260.8378110490897
2.0,4.0,17.0,9.849305623953509
2.0,5.0,9.0,10.09428058062302
5.0,4.0,8.0,9.71534052268532
10.0,5.0,11.0,13.52137052611653
9.0,2.0,5.0,15.254133870278844
4.0,6.0,7.0,10.07424720187784
8.0,5.0,15.0,14.006779281172085
2.0,3.0,13.0,9.62834585018294
8.0,2.0,1.0,16.226127310194872
4.0,4.0,4.0,10.826729028625872
1000.0,3.0,13.0,38.140279949654825
5.0,2.0,10.0,11.15324559446799
1000.0,2.0,1.0,38.218994840435705
6.0,4.0,2.0,9.217439395335978
1000.0,4.0,12.0,35.274612861123856
10.0,5.0,9.0,13.705576799199596
10000.0,3.0,18.0,300.1290554938624
5.0,6.0,10.0,10.019939679963127
4.0,5.0,1.0,9.658103148541628
1.0,5.0,17.0,9.910802775024775
6.0,2.0,15.0,10.584698759473305
2.0,4.0,5.0,9.676795045480935
100.0,5.0,15.0,13.43435971841582
10.0,4.0,3.0,13.583265417006247
100.0,3.0,6.0,13.521919030748846
10.0,3.0,17.0,12.578774575780828
3.0,5.0,17.0,10.204706410596568
60000.0,1.0,2.0,333.3333333333333
1.0,4.0,6.0,10.75453841521122
8.0,2.0,12.0,16.803333781422232
7.0,6.0,2.0,12.368736780912569
3.0,3.0,8.0,10.352288373344926
10.0,3.0,12.0,12.916725868326898
2.0,1.0,10.0,12.94263822737627
5.0,4.0,17.0,9.62834585018294
10.0,1.0,9.0,18.47609193703348
3.0,3.0,2.0,9.7799511002445
100.0,6.0,2.0,13.081984798733664
4.0,1.0,3.0,15.17888313777872
4.0,4.0,14.0,10.046616299630283
100.0,6.0,18.0,14.783714260370774
4.0,6.0,8.0,9.580379383023569
8.0,3.0,3.0,13.997172571140627
60000.0,4.0,9.0,487.8048780487805
4.0,5.0,12.0,9.94233446013124
4.0,4.0,8.0,10.214400261488649
3.0,6.0,5.0,11.08475402930809
6.0,4.0,5.0,9.930486593843098
2.0,2.0,14.0,11.1914407860868
8.0,6.0,13.0,15.361455037021106
1.0,4.0,7.0,10.610529889862699
9.0,4.0,8.0,14.57492238853828
3.0,2.0,4.0,11.56243134806387
10000.0,1.0,10.0,311.1000497760079
5.0,6.0,3.0,9.873617693522906
7.0,3.0,14.0,10.939961491335552
10000.0,2.0,4.0,301.2592637223595
7.0,5.0,4.0,13.62862010221465
10000.0,5.0,5.0,262.89499973710497
10000.0,6.0,3.0,282.98149301035716
10000.0,5.0,4.0,286.12303290414883
7.0,5.0,3.0,14.398018832608633
6.0,1.0,14.0,13.435803729779115
